question	answer	note	category
育児休暇	parental leave	He took parental leave to care for his newborn.	childcare
育児手当	child benefit	Many countries offer child benefit to support families.	childcare
保育園	nursery school	My son starts nursery school next month.	childcare
幼稚園	kindergarten	Kindergarten helps children prepare for elementary school.	childcare
学童保育	after-school care	After-school care programs provide supervision for children whose parents work.	childcare
ベビーシッター	babysitter	We hired a babysitter for the evening.	childcare
おむつ	diaper	It's time to change the baby's diaper.	childcare
粉ミルク	formula	She feeds her baby formula.	childcare
母乳	breast milk	Breast milk is highly nutritious for infants.	childcare
離乳食	baby food	The baby started eating solid baby food at six months.	childcare
抱っこ紐	baby carrier	She uses a baby carrier when going for walks.	childcare
ベビーカー	stroller	We bought a new stroller for our toddler.	childcare
おしゃぶり	pacifier	The baby calms down with a pacifier.	childcare
よだれかけ	bib	Don't forget to put a bib on the baby before feeding.	childcare
お昼寝	nap	The toddler needs a nap in the afternoon.	childcare
夜泣き	night crying	Night crying can be challenging for new parents.	childcare
おむつかぶれ	diaper rash	Apply cream to soothe diaper rash.	childcare
歯が生える	teething	The baby is teething, which makes him fussy.	childcare
つかまり立ち	pulling up	The baby is pulling up on the furniture now.	childcare
はいはい	crawling	The baby started crawling last month.	childcare
あんよ	walking	The baby is learning to walk.	childcare
指差し	pointing	The toddler is pointing at the dog.	childcare
独り言	babbling	The baby is babbling happily in the crib.	childcare
しつけ	discipline	Discipline is important for a child's development.	childcare
褒める	praise	Praise your child for good behavior.	childcare
叱る	scold	Try not to scold your child too harshly.	childcare
癇癪	tantrum	The child threw a tantrum in the supermarket.	childcare
イヤイヤ期	terrible twos	The terrible twos can be a difficult phase for both parents and children.	childcare
反抗期	rebellious phase	Teenagers often go through a rebellious phase.	childcare
社会性	social skills	Playing with others helps children develop social skills.	childcare
運動能力	motor skills	Running and jumping improve gross motor skills.	childcare
認知能力	cognitive skills	Puzzles help develop cognitive skills.	childcare
言葉の発達	language development	Reading aloud supports language development.	childcare
読み聞かせ	read aloud	Reading aloud to children is beneficial.	childcare
絵本	picture book	They enjoy looking at picture books together.	childcare
積み木	building blocks	Building blocks encourage creativity.	childcare
おままごと	pretend play	Children often engage in pretend play.	childcare
砂場	sandbox	The children are playing in the sandbox.	childcare
すべり台	slide	They love going down the slide at the park.	childcare
ブランコ	swing	My daughter loves to swing high.	childcare
滑り止め	non-slip mat	Use a non-slip mat in the bathtub for safety.	childcare
ベビーゲート	baby gate	Install a baby gate at the top of the stairs.	childcare
チャイルドシート	car seat	Always buckle your child into a car seat.	childcare
予防接種	vaccination	It's important for children to get their vaccinations.	childcare
定期健診	routine check-up	The baby has a routine check-up next week.	childcare
発熱	fever	The child has a fever.	childcare
咳	cough	He has a persistent cough.	childcare
鼻水	runny nose	She has a runny nose.	childcare
中耳炎	ear infection	The doctor diagnosed an ear infection.	childcare
アレルギー	allergy	He has a severe peanut allergy.	childcare
学校	school	My child goes to elementary school.	education
先生	teacher	Our teacher is very kind.	education
生徒	student	There are 30 students in my class.	education
教室	classroom	The classroom is bright and clean.	education
机	desk	Please put your books on the desk.	education
椅子	chair	Sit down on your chair.	education
黒板	blackboard	The teacher wrote on the blackboard.	education
ホワイトボード	whiteboard	We use a whiteboard for presentations.	education
鉛筆	pencil	Do you have a pencil?	education
消しゴム	eraser	I need an eraser for my mistake.	education
ノート	notebook	Please write in your notebook.	education
